Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,20,Kevin Magnussen MAG,Haas Ferrari,8,15:17:07,36.779,36.779
1,47,Mick Schumacher MSC,Haas Ferrari,9,15:18:50,36.704,36.704
1,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,9,15:18:55,36.444,36.444
1,22,Yuki Tsunoda TSU,AlphaTauri RBPT,11,15:22:23,37.648,37.648
1,1,Max Verstappen VER,Red Bull Racing RBPT,16,15:29:58,35.266,35.266
1,44,Lewis Hamilton HAM,Mercedes,18,15:33:29,37.189,37.189
1,11,Sergio Perez PER,Red Bull Racing RBPT,18,15:33:34,38.061,38.061
1,63,George Russell RUS,Mercedes,18,15:33:35,38.277,38.277
1,14,Fernando Alonso ALO,Alpine Renault,18,15:33:47,36.524,36.524
1,4,Lando Norris NOR,McLaren Mercedes,18,15:33:55,37.539,37.539
1,31,Esteban Ocon OCO,Alpine Renault,18,15:34:00,44.747,44.747
1,55,Carlos Sainz SAI,Ferrari,18,15:34:02,41.458,41.458
1,3,Daniel Ricciardo RIC,McLaren Mercedes,18,15:34:05,36.264,36.264
1,18,Lance Stroll STR,Aston Martin Aramco Mercedes,18,15:34:07,39.844,39.844
1,23,Alexander Albon ALB,Williams Mercedes,18,15:34:13,37.38,37.380
1,10,Pierre Gasly GAS,AlphaTauri RBPT,18,15:34:17,35.969,35.969
1,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,18,15:34:25,37.855,37.855
2,20,Kevin Magnussen MAG,Haas Ferrari,18,15:34:37,36.403,1:13.182
2,47,Mick Schumacher MSC,Haas Ferrari,18,15:34:48,37.003,1:13.707
1,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,19,15:36:34,36.671,36.671
1,6,Nicholas Latifi LAT,Williams Mercedes,19,15:36:38,37.497,37.497
2,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,22,15:42:44,50.79,1:27.234
2,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,36,16:05:53,36.52,1:14.375
2,6,Nicholas Latifi LAT,Williams Mercedes,38,16:09:37,36.942,1:14.439
2,55,Carlos Sainz SAI,Ferrari,42,16:15:12,42.292,1:23.750
