Pos,No,Driver,Car,Time,Gap,Laps
1,55,Carlos Sainz SAI,Ferrari,1:42.587,,23
2,16,Charles Leclerc LEC,Ferrari,1:42.795,+0.208s,14
3,63,George Russell RUS,Mercedes,1:42.911,+0.324s,26
4,1,Max Verstappen VER,Red Bull Racing RBPT,1:42.926,+0.339s,8
5,44,Lewis Hamilton HAM,Mercedes,1:43.182,+0.595s,22
6,31,Esteban Ocon OCO,Alpine Renault,1:43.412,+0.825s,23
7,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:43.431,+0.844s,26
8,14,Fernando Alonso ALO,Alpine Renault,1:43.520,+0.933s,23
9,11,Sergio Perez PER,Red Bull Racing RBPT,1:43.906,+1.319s,13
10,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:43.982,+1.395s,21
11,4,Lando Norris NOR,McLaren Mercedes,1:44.013,+1.426s,16
12,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:44.249,+1.662s,24
13,20,Kevin Magnussen MAG,Haas Ferrari,1:44.422,+1.835s,22
14,10,Pierre Gasly GAS,AlphaTauri RBPT,1:44.469,+1.882s,22
15,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:44.524,+1.937s,25
16,23,Alexander Albon ALB,Williams Mercedes,1:45.144,+2.557s,25
17,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:45.211,+2.624s,11
18,3,Daniel Ricciardo RIC,McLaren Mercedes,1:45.447,+2.860s,18
19,47,Mick Schumacher MSC,Haas Ferrari,1:45.623,+3.036s,23
20,6,Nicholas Latifi LAT,Williams Mercedes,1:46.553,+3.966s,25
